File_Path,Link,Chunk
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Explore_The_Building_RAW.html,https://www.cics.umass.edu/building/explore,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Faculty_Achievements_RAW.html,https://www.cics.umass.edu/faculty/faculty-achievements,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Faculty_Positions_RAW.html,https://www.cics.umass.edu/jobs,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\faculty_RAW.html,https://www.cics.umass.edu/people/tenure-and-teaching,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Faculty_Staff_Advising_RAW.html,https://www.cics.umass.edu/content/faculty-staff,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Future_Students_RAW.html,https://www.cics.umass.edu/content/future-students,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Getting_Started_RAW.html,https://www.cics.umass.edu/admissions/getting-started,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Grad_Academic_Progress_RAW.html,https://www.cics.umass.edu/grads/academic-progress,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Grad_Accomplishments_RAW.html,https://www.cics.umass.edu/grads/student-accomplishments,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Grad_Forms_RAW.html,https://www.cics.umass.edu/grads/student-forms,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Grad_Life_RAW.html,https://www.cics.umass.edu/grads/life-graduate-student,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Grad_Overview_RAW.html,https://www.cics.umass.edu/grads/overview,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Grad_Registration_RAW.html,https://www.cics.umass.edu/content/registration,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Grad_Ugrad_Staff_RAW.html,https://www.cics.umass.edu/people/grad-ugrad-program,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Graduate_Admissions_FAQ_RAW.html,https://www.cics.umass.edu/admissions/application-faq,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Graduate_applications_RAW.html,https://www.cics.umass.edu/admissions/application-instructions,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Graduating_Masters_Students_RAW.html,https://www.cics.umass.edu/people/graduating_ms,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\HCI_RAW.html,https://www.cics.umass.edu/research/area/human-computer-interaction,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Health_Informatics_RAW.html,https://www.cics.umass.edu/research/area/health-informatics,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Homepage_RAW.html,https://www.cics.umass.edu/,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Human_Language_Technologies_RAW.html,https://www.cics.umass.edu/research/area/human-language-technologies,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\In_Memoriam_RAW.html,https://www.cics.umass.edu/people/memoriam,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Industy_Affiliates_Members_RAW.html,https://www.cics.umass.edu/industrial-affiliates-program-current-members,
